baseline,D_lambda_K_mean,D_lambda_K_std,D_s_mean,D_s_std,HQNR_mean,HQNR_std,num_valid
ZUP_full,0.016330,0.004041,0.018069,0.007043,0.965909,0.009395,20
ZUP_wo_pretrain_loss,0.018657,0.004397,0.067933,0.025175,0.914766,0.028140,20
ZUP_wo_spatial_loss,0.016311,0.004021,0.017956,0.006754,0.966037,0.009111,20
ZUP_wo_spectral_loss,0.019225,0.007427,0.035214,0.018619,0.946334,0.023881,20
ZUP_wo_ssat,0.016528,0.004495,0.022923,0.013182,0.960974,0.016664,20
ZUP_wo_stage1,0.019046,0.005534,0.015667,0.005607,0.965598,0.009219,20
