baseline,D_lambda_K_mean,D_lambda_K_std,D_s_mean,D_s_std,HQNR_mean,HQNR_std,num_valid
ZUP_full,0.016390,0.004189,0.018020,0.007045,0.965897,0.009365,20
ZUP_wo_pretrain_loss,0.018567,0.004355,0.067769,0.025204,0.915011,0.028158,20
ZUP_wo_spatial_loss,0.016363,0.004102,0.017814,0.006783,0.966125,0.009087,20
ZUP_wo_spectral_loss,0.019225,0.007427,0.035214,0.018619,0.946334,0.023881,20
ZUP_wo_ssat,0.016482,0.004493,0.022937,0.012936,0.961005,0.016451,20
ZUP_wo_stage1,0.019113,0.005605,0.015614,0.005700,0.965585,0.009403,20
